Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
1018,2022-23,Loyola (MD),33,13,20,0.394,66.8,100.4,105.3,0.52,0.539,17.8,27.4,72.0,0.28,0.544,0.568,18.1,28.0,72.6,0.288
1019,2021-22,Loyola (MD),30,14,16,0.467,66.7,98.3,97.6,0.504,0.526,17.2,24.7,74.1,0.245,0.506,0.537,18.7,25.9,75.3,0.3
1020,2020-21,Loyola (MD),17,6,11,0.353,68.4,100.9,99.3,0.511,0.529,17.5,31.3,74.4,0.354,0.493,0.53,17.1,25.6,68.7,0.334
1021,2019-20,Loyola (MD),32,15,17,0.469,71.3,102.2,104.2,0.525,0.549,17.0,25.9,70.9,0.419,0.504,0.538,15.6,29.1,74.1,0.32
1022,2023-24,Louisville,32,8,24,0.25,70.4,101.8,111.8,0.484,0.531,15.9,28.1,72.5,0.388,0.546,0.577,14.3,27.5,71.9,0.338
1023,2022-23,Louisville,32,4,28,0.125,67.0,95.4,113.0,0.48,0.52,19.6,28.2,70.0,0.329,0.541,0.569,13.2,30.0,71.8,0.306
1024,2021-22,Louisville,32,13,19,0.406,67.5,98.9,103.0,0.488,0.511,15.7,27.3,75.2,0.251,0.504,0.533,14.4,24.8,72.7,0.3
1025,2020-21,Louisville,20,13,7,0.65,66.0,102.3,100.1,0.478,0.514,14.8,32.0,73.8,0.321,0.484,0.511,14.5,26.2,68.0,0.298
1026,2019-20,Louisville,31,24,7,0.774,67.1,109.4,94.1,0.525,0.557,15.4,32.0,75.0,0.322,0.451,0.49,15.3,25.0,68.0,0.29
1027,2023-24,Louisiana–Monroe,30,11,19,0.367,69.1,100.7,107.3,0.463,0.498,15.1,34.8,70.7,0.372,0.514,0.553,15.4,29.3,65.2,0.368
1028,2022-23,Louisiana–Monroe,32,11,21,0.344,67.2,99.1,102.7,0.473,0.508,16.0,29.7,71.1,0.299,0.505,0.537,16.3,28.9,70.3,0.277
1029,2021-22,Louisiana–Monroe,31,13,18,0.419,69.7,102.6,105.3,0.514,0.541,16.0,25.8,67.3,0.261,0.521,0.549,17.3,32.7,74.2,0.33
1030,2020-21,Louisiana–Monroe,26,7,19,0.269,67.7,94.5,101.4,0.482,0.51,17.1,22.7,68.1,0.251,0.504,0.539,18.4,31.9,77.3,0.34
1031,2019-20,Louisiana–Monroe,29,9,20,0.31,66.2,94.9,101.4,0.478,0.51,18.0,27.0,70.2,0.325,0.478,0.515,14.9,29.8,73.0,0.336
1032,2023-24,Louisiana Tech,32,22,10,0.688,67.5,109.9,94.9,0.52,0.556,15.6,34.5,72.1,0.41,0.451,0.49,16.2,27.9,65.5,0.316
1033,2022-23,Louisiana Tech,33,15,18,0.455,67.7,104.3,101.6,0.515,0.544,17.1,31.6,72.3,0.283,0.524,0.556,19.4,27.7,68.4,0.373
1034,2021-22,Louisiana Tech,34,24,10,0.706,70.0,107.4,97.1,0.525,0.556,14.6,26.5,72.9,0.314,0.478,0.51,17.0,27.1,73.5,0.267
1035,2020-21,Louisiana Tech,32,24,8,0.75,70.6,103.5,92.6,0.509,0.538,15.9,28.0,75.6,0.342,0.462,0.495,17.1,24.4,72.0,0.271
1036,2019-20,Louisiana Tech,30,22,8,0.733,68.2,108.3,92.5,0.537,0.557,15.7,30.3,72.3,0.29,0.46,0.496,18.7,27.7,69.7,0.313
1037,2023-24,Louisiana State,33,17,16,0.515,70.7,107.5,105.6,0.522,0.559,16.1,30.7,68.6,0.383,0.497,0.538,15.6,31.4,69.3,0.337
